Rank,Player,Team,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Minutes,Matches,Country
254,Omar Mascarell,Mallorca,0.1,2.7,1573,29,EQG
255,Gaston Álvarez,Getafe,0.1,2.3,2535,34,URU
256,Igor Zubeldia,Real Sociedad,0.1,2.2,2523,30,ESP
256,José Gayà,Valencia CF,0.1,2.2,1797,24,ESP
256,Ronald Araujo,Barcelona,0.1,2.2,1994,25,URU
256,Unai Nunez,Celta de Vigo,0.1,2.2,2802,34,ESP
260,Thierry Correia,Valencia CF,0.1,2.1,2157,31,POR
261,Antonio Rüdiger,Real Madrid,0.1,1.9,2707,33,GER
261,Eric Garcia,Girona,0.1,1.9,2697,32,ESP
261,Stefan Savic,Atlético de Madrid,0.1,1.9,1631,23,MNE
264,Loic Badé,Sevilla,0.1,1.8,2283,28,FRA
264,Robin Le Normand,Real Sociedad,0.1,1.8,2473,29,ESP
264,Sergio Ramos,Sevilla,0.1,1.8,2518,28,ESP
267,Ignasi Miquel,Granada CF,0.1,1.7,2991,34,ESP
267,Javi Lopez,Alavés,0.1,1.7,2387,32,ESP
267,Nemanja Gudelj,Sevilla,0.1,1.7,1744,22,SRB
270,Fali,Cádiz,0.1,1.6,2550,30,ESP
270,Iván Balliu,Rayo Vallecano,0.1,1.6,2876,33,ALB
270,Juanlu Sánchez,Sevilla,0.1,1.6,1174,26,ESP
273,Abdelkabir Abqar,Alavés,0.1,1.5,2314,27,MAR
273,Pau Cubarsi,Barcelona,0.1,1.5,1562,19,ESP
275,Edgar González,Almería,0.1,1.4,2528,31,ESP
276,Carlos Neva,Granada CF,0.1,1.3,3152,36,ESP
276,Cenk Özkacar,Valencia CF,0.1,1.3,1595,23,TUR
276,Germán Pezzella,Real Betis,0.1,1.3,2770,32,ARG
279,Abdul Mumin,Rayo Vallecano,0.1,1.2,1695,20,GHA
279,Aridane Hernández,Rayo Vallecano,0.1,1.2,1691,19,EQG
279,Kike Salas,Sevilla,0.1,1.2,1604,23,ESP
279,Miguel Rubio,Granada CF,0.1,1.2,1559,19,ESP
283,Abner,Real Betis,0.1,1.0,1397,23,BRA
284,Artem Dovbyk,Girona,0.1,0.6,2605,36,UKR
285,David Lopez,Girona,0.0,2.1,1975,25,ESP
285,Mika Mármol,Las Palmas,0.0,2.1,3181,36,ESP
287,Alejandro Catena,Osasuna,0.0,2.0,2536,30,ESP
288,Axel Witsel,Atlético de Madrid,0.0,1.8,2784,35,BEL
289,Aitor Paredes,Athletic Club,0.0,1.6,2706,34,ESP
290,Juan Miranda,Real Betis,0.0,1.5,1860,25,ESP
291,Antonio Raillo,Mallorca,0.0,1.4,2198,26,ESP
291,Carl Starfelt,Celta de Vigo,0.0,1.4,2218,27,SWE
293,Alex Suárez,Las Palmas,0.0,1.3,2566,32,ESP
293,Matija Nastasic,Mallorca,0.0,1.3,2257,26,SRB
295,Raul Albiol,Villarreal,0.0,1.2,2035,26,ESP
296,Juan Brandariz,Almería,0.0,1.1,2432,31,ESP
296,Martin Valjent,Mallorca,0.0,1.1,2354,28,SVK
