Rank,Player,Team,Expected Goals (xG),Actual Goals,Minutes,Matches,Country
316,César Azpilicueta,Atlético de Madrid,0.6,0.0,1421,25,ESP
316,Enzo Loiodice,Las Palmas,0.6,0.0,1792,34,FRA
316,Joaquin Panichelli,Alavés,0.6,0.0,222,8,ARG
316,Juan Iglesias,Getafe,0.6,0.0,1413,23,ESP
316,Luis Milla,Getafe,0.6,0.0,2123,27,ESP
316,Oliver Torres,Sevilla,0.6,0.0,1620,27,ESP
316,Thierry Correia,Valencia CF,0.6,0.0,2157,31,POR
325,Francisco Garcia,Real Madrid,0.5,1.0,1396,25,ESP
325,Giovanni González,Mallorca,0.5,1.0,2463,34,URU
325,José Copete,Mallorca,0.5,1.0,1335,19,ESP
325,José Gayà,Valencia CF,0.5,1.0,1797,24,ESP
329,Benat Prados,Athletic Club,0.5,0.0,1450,26,ESP
329,Famara Diédhiou,Granada CF,0.5,0.0,82,8,SEN
329,Franco Cervi,Celta de Vigo,0.5,0.0,537,17,ARG
329,Gabriel Paulista,Atlético de Madrid,0.5,0.0,1806,23,BRA
329,Hamari Traoré,Real Sociedad,0.5,0.0,2296,31,MLI
329,Iván Alejo,Cádiz,0.5,0.0,1702,30,ESP
329,Manuel Sánchez,Celta de Vigo,0.5,0.0,1777,26,ESP
329,Manuel Trigueros,Villarreal,0.5,0.0,299,14,ESP
329,Mauro Arambarri,Getafe,0.5,0.0,337,7,URU
329,Nacho Fernandez,Real Madrid,0.5,0.0,1739,29,ESP
329,Ramon Terrats,Villarreal,0.5,0.0,780,19,ESP
329,Victor Chust,Cádiz,0.5,0.0,1870,22,ESP
341,Abdul Mumin,Rayo Vallecano,0.4,1.0,1695,20,GHA
341,Benito,Las Palmas,0.4,1.0,368,20,ESP
341,Juan Foyth,Villarreal,0.4,1.0,1063,12,ARG
341,William Carvalho,Real Betis,0.4,1.0,669,22,POR
345,Alejandro Pozo,Almería,0.4,0.0,970,21,ESP
345,Álvaro Fernández,Granada CF,0.4,0.0,474,13,ESP
345,Andrei Ratiu,Rayo Vallecano,0.4,0.0,627,12,ROU
345,Carlos Romero,Villarreal,0.4,0.0,259,7,ESP
345,Cédric Bakambu,Real Betis,0.4,0.0,195,4,COD
345,Ibrahima Koné,Almería,0.4,0.0,275,9,MLI
345,Inigo Martinez,Barcelona,0.4,0.0,1293,20,ESP
345,Jorge Herrando,Osasuna,0.4,0.0,1644,19,ESP
345,José Giménez,Atlético de Madrid,0.4,0.0,1323,22,URU
345,Koke,Atlético de Madrid,0.4,0.0,2502,35,ESP
345,Mohamed-Ali Cho,Real Sociedad,0.4,0.0,239,11,FRA
345,Omar Mascarell,Mallorca,0.4,0.0,1573,29,EQG
345,Oscar Melendo,Granada CF,0.4,0.0,1126,26,ESP
345,Raul Albiol,Villarreal,0.4,0.0,2035,26,ESP
345,Selim Amallah,Valencia CF,0.4,0.0,597,20,MAR
345,Xeber Alkain,Alavés,0.4,0.0,300,10,ESP
361,Aleksandar Sedlar,Alavés,0.3,1.0,948,11,SRB
361,Brian Ocampo,Cádiz,0.3,1.0,237,13,URU
361,Inigo Ruiz de Galarreta,Athletic Club,0.3,1.0,2104,29,ESP
361,Marcos Acuna,Sevilla,0.3,1.0,1296,21,ARG
361,Theodor Corbeanu,Granada CF,0.3,1.0,196,9,CAN
366,Aihen Munoz,Real Sociedad,0.3,0.0,1120,21,ESP
366,Álex Fernández,Cádiz,0.3,0.0,1283,26,ESP
366,Aridane Hernández,Rayo Vallecano,0.3,0.0,1691,19,EQG
366,Aritz Elustondo,Real Sociedad,0.3,0.0,808,15,ESP
366,Ben Brereton Diaz,Villarreal,0.3,0.0,261,14,CHI
366,Carlos Dominguez,Celta de Vigo,0.3,0.0,1585,22,ESP
366,Cenk Özkacar,Valencia CF,0.3,0.0,1595,23,TUR
366,Damian Suarez,Getafe,0.3,0.0,1306,16,URU
366,Daniel Ceballos,Real Madrid,0.3,0.0,586,20,ESP
366,Diego Rico,Getafe,0.3,0.0,2536,32,ESP
366,Domingos Duarte,Getafe,0.3,0.0,905,15,POR
