Rank,Player,Team,Chances Created,Chances Created per 90,Minutes,Matches,Country
298,Miguel Crespo,Rayo Vallecano,6.0,1.0,521,15,POR
299,Andrei Ratiu,Rayo Vallecano,6.0,0.9,627,12,ROU
300,Jesus Santiago,Getafe,6.0,0.8,657,14,ESP
300,Sory Kaba,Las Palmas,6.0,0.8,720,17,GUI
302,Luis Hernández,Cádiz,6.0,0.7,722,9,ESP
302,Mihailo Ristic,Celta de Vigo,6.0,0.7,807,12,SRB
304,Abdessamad Ezzalzouli,Real Betis,6.0,0.6,921,28,MAR
305,Carlos Benavidez,Alavés,6.0,0.5,1121,29,URU
305,Nahuel Tenaglia,Alavés,6.0,0.5,1131,25,ARG
307,Iddrisu Baba,Almería,6.0,0.4,1424,25,GHA
308,Jorge Cuenca,Villarreal,6.0,0.3,1961,29,ESP
308,Victor Chust,Cádiz,6.0,0.3,1870,22,ESP
310,Alejandro Catena,Osasuna,6.0,0.2,2536,30,ESP
310,Alex Suárez,Las Palmas,6.0,0.2,2566,32,ESP
310,Daniel Vivian,Athletic Club,6.0,0.2,2879,33,ESP
313,Javi Llabrés,Mallorca,5.0,1.9,235,16,ESP
314,Faitout Maouassa,Granada CF,5.0,1.8,244,6,FRA
314,Marcos Alonso,Barcelona,5.0,1.8,250,5,ESP
316,Enrique Barja,Osasuna,5.0,1.5,293,16,ESP
316,Manuel Trigueros,Villarreal,5.0,1.5,299,14,ESP
318,Rafa Mir,Sevilla,5.0,1.2,382,15,ESP
319,Andrés Guardado,Real Betis,5.0,1.0,442,12,MEX
320,Valery Fernández,Girona,5.0,0.9,486,27,ESP
320,Yéremi Pino,Villarreal,5.0,0.9,479,7,ESP
322,Bertrand Traoré,Villarreal,5.0,0.8,569,11,BFA
322,Kamil Jozwiak,Granada CF,5.0,0.8,573,11,POL
324,Ilaix Moriba,Getafe,5.0,0.7,606,14,GUI
325,André Silva,Real Sociedad,5.0,0.6,730,19,POR
325,Joseba Zaldua,Cádiz,5.0,0.6,709,13,ESP
325,Reinildo,Atlético de Madrid,5.0,0.6,723,16,MOZ
328,Roman Yaremchuk,Valencia CF,5.0,0.5,926,25,UKR
329,Juan Foyth,Villarreal,5.0,0.4,1063,12,ARG
329,Yerson Mosquera,Villarreal,5.0,0.4,1228,16,COL
331,Juan Cruz,Osasuna,5.0,0.3,1663,26,ESP
331,Kike Salas,Sevilla,5.0,0.3,1604,23,ESP
331,Nacho Fernandez,Real Madrid,5.0,0.3,1739,29,ESP
331,Pau Cubarsi,Barcelona,5.0,0.3,1562,19,ESP
335,Antonio Rüdiger,Real Madrid,5.0,0.2,2707,33,GER
335,David Garcia,Osasuna,5.0,0.2,2336,27,ESP
335,Iker Munoz,Osasuna,5.0,0.2,1856,28,ESP
335,Matija Nastasic,Mallorca,5.0,0.2,2257,26,SRB
335,Rafa Marin,Alavés,5.0,0.2,2442,33,ESP
340,Mika Mármol,Las Palmas,5.0,0.1,3181,36,ESP
341,Hugo González,Valencia CF,4.0,4.6,79,9,ESP
342,Hannibal Mejbri,Sevilla,4.0,3.6,101,6,TUN
343,Alberto Risco,Getafe,4.0,2.7,135,4,ESP
344,Fabricio Angileri,Getafe,4.0,2.3,160,11,ARG
345,Yannick Carrasco,Atlético de Madrid,4.0,1.6,223,3,BEL
346,Radamel Falcao,Rayo Vallecano,4.0,0.9,391,22,COL
347,Sergi Guardiola,Cádiz,4.0,0.8,475,22,ESP
348,Nacho Vidal,Mallorca,4.0,0.7,506,15,ESP
