Rank,Player,Team,Expected Assists (xA),Actual Assists,Minutes,Matches,Country
360,Lázaro,Almería,0.3,0.0,274,14,BRA
360,Lucien Agoume,Sevilla,0.3,0.0,777,12,FRA
360,Marcos Alonso,Barcelona,0.3,0.0,250,5,ESP
360,Mohamed-Ali Cho,Real Sociedad,0.3,0.0,239,11,FRA
360,Nacho Vidal,Mallorca,0.3,0.0,506,15,ESP
360,Radamel Falcao,Rayo Vallecano,0.3,0.0,391,22,COL
360,Raul Torrente,Granada CF,0.3,0.0,1252,17,ESP
360,Rominigue Kouamé,Cádiz,0.3,0.0,820,16,MLI
360,Sergi Altimira,Real Betis,0.3,0.0,566,14,ESP
360,Stefan Mitrovic,Getafe,0.3,0.0,700,11,SRB
384,Carlos Fernández,Real Sociedad,0.2,1.0,406,10,ESP
384,Famara Diédhiou,Granada CF,0.2,1.0,82,8,SEN
384,Hugo González,Valencia CF,0.2,1.0,79,9,ESP
384,Victor Chust,Cádiz,0.2,1.0,1870,22,ESP
384,Yannick Carrasco,Atlético de Madrid,0.2,1.0,223,3,BEL
389,Abdelkabir Abqar,Alavés,0.2,0.0,2314,27,MAR
389,Adnan Januzaj,Sevilla,0.2,0.0,187,8,BEL
389,Adrià Altimira,Villarreal,0.2,0.0,779,11,ESP
389,Aiham Ousou,Cádiz,0.2,0.0,429,6,SYR
389,Alberto Risco,Getafe,0.2,0.0,135,4,ESP
389,Álvaro Odriozola,Real Sociedad,0.2,0.0,397,9,ESP
389,André Silva,Real Sociedad,0.2,0.0,730,19,POR
389,Arnau Puigmal,Almería,0.2,0.0,248,11,ESP
389,Axel Witsel,Atlético de Madrid,0.2,0.0,2784,35,BEL
389,Ben Brereton Diaz,Villarreal,0.2,0.0,261,14,CHI
389,Brian Ocampo,Cádiz,0.2,0.0,237,13,URU
389,Bruno Méndez,Granada CF,0.2,0.0,1336,17,URU
389,Carlos Romero,Villarreal,0.2,0.0,259,7,ESP
389,Chadi Riad,Real Betis,0.2,0.0,2164,26,MAR
389,Cristhian Mosquera,Valencia CF,0.2,0.0,3074,36,ESP
389,Dani Garcia,Athletic Club,0.2,0.0,738,17,ESP
389,Federico San Emeterio,Cádiz,0.2,0.0,155,4,ESP
